Korean,English
것,thing
하다,do
있다,have
있다,have
되다,to be
수,Number
하다,do
나,me
그,that
없다,none
않다,not
사람,person
우리,Us
이,this
그,that
아니다,no
보다,see
등,etc
때,at the time
거,thing
보다,see
같다,same
주다,give
대하다,treat
가다,go
년,year
한,One
말,word
일,Work
이,this
때문,because
말하다,speak
위하다,for
그러나,But
오다,come
알다,to know
씨,Seed
그렇다,Yes
크다,Big
또,In addition
일,Work
사회,society
많다,many
안,not
좋다,good
더,more
받다,receive
그것,that
집,House
나오다,come out
따르다,follow
그리고,and
문제,problem
그런,then
살다,live
저,I
못하다,Can not do it
생각하다,Think
모르다,do not know
속,inside
만들다,make
데,place
두,two
앞,front
경우,case
중,middle
어떤,which
잘,well
그녀,she
먹다,eat
오다,come
자신,Myself
문화,culture
원,one
생각,thought
어떻다,how
명,number of people
통하다,pass
그러다,Then
소리,sound
다시,again
다른,Different
이런,this
여자,Woman
개,dog
정도,degree
뒤,back
듣다,listen
다,all
좀,A little
들다,Hold
싶다,want
보이다,show
가지다,have
함께,together
아이,kid
지나다,pass by
많이,A lot of
시간,hour
너,you
주다,give
인간,human
사실,actually
나다,grow
이렇다,So
어머니,Mother
눈,eye
뭐,what
점,dot
의하다,be due to
시대,era
다음,next
이러하다,So
누구,who
전,Jeon
곳,place
여러,several
안,not
하나,one
세계,world
버리다,throw away
위,stomach
운동,Exercise
퍼센트,percent
학교,school
자기,self
가장,the most
대통령,President
가지,egg plant
들다,Hold
시작하다,start
바로,as soon as
어느,which
그래서,therefore
무엇,what
정부,government
모든,every
번,th
그거,it
돈,money
국가,country
그런데,However
날,me
여기,here
모두,all
여성,woman
친구,friend
마음,mind
후,after
가다,go
놓다,put
관계,relationship
아버지,father
남자,man
어디,where
몸,body
얼굴,Face
들어가다,enter
왜,Why
나타나다,appear
말다,roll
지역,area
다르다,different
모습,figure
물,water
만나다,meet
내다,Pay
보이다,show
쓰다,write
이것,this
없이,without
이번,this time
길,road
생활,life
쓰다,write
지금,now
뿐,only
사이,between
방법,Way
새롭다,new
우리나라,our country
내다,Pay
앉다,Sit
처음,first
손,hand
몇,some
그때,at that time
과정,process
삶,Life
갖다,have
찾다,find
특히,Especially
시,city
이상,more
지금,now
나가다,exit
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,Catch
같이,together
선생님,Teacher
예술,art
서다,stand
못,pond
역사,history
읽다,read
이제,now
결과,result
내용,Contents
물론,of course
동안,During
책,book
일어나다,wake up
당신,you
시장,market
넣다,Insert
중요하다,It is important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,Too
나라,country
부르다,call
의미,meaning
자리,seat
밝히다,clarify
죽다,die
이미,already
쪽,side
정치,politics
국민,nation
생명,life
얘기,story
학생,student
연구,research
엄마,mom
이름,name
하나,one
내리다,take off
사건,Incident
및,and
쉽다,easy
짓다,build
또한,In addition
이유,Reason
또는,or
필요하다,necessary
글,writing
생기다,to happen
사용하다,use
남편,husband
들어오다,come in
밖,Out
세상,world
작다,small
타다,Ride
대학,University
작품,Work
상황,situation
가운데,middle
보내다,send
두다,put
즉,In other words
따라서,thus
상태,state
이후,after
당시,at that time
문학,literature
더욱,More
아주,quite
지방,Fat
밤,night
높다,high
최근,lately
채,stick
현실,reality
환경,environment
컴퓨터,computer
먼저,first
다니다,to go
얼마나,How
자체,itself
열다,open
머리,head
묻다,ask
남다,left
부분,part
기업,Enterprise
거기,there
변화,change
아들,son
뜻,meaning
아,Ah
기다리다,wait
떨어지다,fall
선거,election
관하다,Pure
분,minute
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
오늘,today
서로,each other
관심,Attention
역시,also
이거,this
애,baby
광고,advertisement
나다,grow
방,room
정신,mental
이르다,early
땅,Earth
이루다,come true
아침,morning
웃다,laugh
현상,phenomenon
두다,put
떠나다,leave
기술,technology
전체,all
그래,okay
얻다,get
아름답다,beautiful
끝,End
민족,people
간,liver
조사,inspection
듯,Ash
입,mouth
뭐,what
그대로,as it is
영화,movie
필요,necessary
줄,line
하늘,sky
년대,In the year
과학,science
듯하다,look like
자연,nature
정말,really
구조,structure
결국,finally
밥,rice
입다,put on
오히려,rather
프로그램,program
네,Yes
이루어지다,come true
남,male
하루,day
그림,painting
적,enemy
터,place
마시다,drink
치다,hit
혼자,Alone
나가다,exit
이제,now
교수,Professor
술,alcohol
사랑,love
의식,Consciousness
전화,phone call
끝나다,end
돌아오다,Come back
맞다,right
아빠,dad
걸리다,hang
지키다,Protect
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,Look at
알아보다,Inquire
회사,company
맛,taste
대부분,most
산업,industry
매우,Extremely
오르다,climb
음식,food
표정,expression
꼭,please
일부,part
요즘,Nowadays
계획,plan
느낌,feeling
얼마,how much
고개,head
성격,Personality
계속,continue
세기,century
세우다,set up
아내,wife
가족,family
현재,today
세,count
놓다,put
발전,Development
차,car
놀다,play
향하다,lean towards
관련,relation
형태,form
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,It is true
자기,self
나이,age
우선,first of all
믿다,believe
바꾸다,change
낳다,give birth
바,bar
정보,information
열리다,open
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
시,city
역할,role
옆,side
행동,action
어,uh
국내,domestic
비하다,Unbear up
기관,Agency
입장,Entrance
만하다,be worth
예,Yes
아래,under
방식,method
영향,effect
그럼,then
나서다,launch
흐르다,flow
저,I
깊다,deep
배,ship
내,my
모양,shape
산,Mountain
새,bird
하지만,However
조건,condition
문,door
꽃,flower
단계,step
올리다,raise
그동안,Meantime
교사,teacher
갑자기,suddenly
넘다,exceed
지니다,carry
바람,wind
잘하다,Do well
마을,Town
어리다,young
대표,representative
가능성,Possibility
방향,direction
대회,Competition
목소리,voice
노래,Song
바다,Sea
힘들다,Hard
공부,study
움직이다,Move
의원,lawmaker
노력,effort
못하다,Can not do it
전혀,at all
언니,sister
단체,group
분,minute
알려지다,known
가능하다,possible
능력,ability
주장하다,Argue
자식,child
돌리다,turn
불,fire
주민,citizen
모으다,collect
자료,data
존재,existence
학년,grade
신문,newspaper
가지다,have
이해하다,Understand
제품,product
분야,Field
선생,teacher
돌아가다,return
사업,business
행위,Act
수준,level
지난해,Last year
표현,expression
기분,Feeling
대,big
젊다,young
동시,The same time
옷,clothes
기능,function
순간,Moment
전쟁,War
전,Jeon
꿈,dream
할머니,Grandma
회의,conference
방송,broadcast
이야기하다,Talk
나무,tree
자다,sleep
연극,theater
오늘,today
마찬가지,same here
걷다,To Walk
노동,labor
이때,At this time
과거,past
가치,value
시간,hour
집단,group
현대,Hyundai
살펴보다,Look at
장관,Minister
차이,difference
풀다,solve
시절,days
물건,thing
직접,directly
개인,personal
근데,However
발,foot
작가,Writer
효과,effect
불교,Buddhism
끌다,drag
대로,Road
빨리,Quickly
시작되다,Start
둘,two
말다,roll
설명하다,Explicate
우주,space
시기,period
마치,like
살,fat
생산,Produce
바라다,Hope
강하다,strong
경험,experience
음악,music
최고,Best
나타내다,Express
아프다,sick
적다,little
비,rain
고향,Hometown
놀라다,surprised
다양하다,Varies
울다,cry
농민,Farmers
드러나다,emerge
은행,Bank
지내다,stay
결혼,marriage
동생,Brother
법,law
소설,novel
예,Yes
오후,afternoon
질서,law
담다,Pose
모이다,gather
시민,citizen
회장,Chairman
빠르다,fast
스스로,self
아기,baby
아저씨,Mister
옛날,A long ago
이날,This day
제대로,properly
달,moon
던지다,Throw
참,Oh yeah
공간,space
이곳,this place
딸,daughter
마지막,last
벌이다,Be punishment
병원,hospital
자세,posture
강조하다,Emphasize
경찰,police
맡다,take on
저녁,dinner
한편,Meanwhile
그러면,then
기자,reporter
넓다,wide
시험,exam
잠,sleep
주로,mainly
훨씬,more
면,noodle
통일,unity
들어서다,Put on
건강,health
가깝다,close
건물,building
시설,facility
외국,foreign country
밑,bottom
어른,Adult
주변,around
대신,instead
원인,cause
팔다,sell
차례,order
군,army
열심히,hard
일하다,to work
재산,property
조금,little
팀,team
부모,parents
약간,slightly
언어,language
요구하다,request
올라가다,Go up
첫,First
감독,director
그날,that day
사실,actually
자주,often
당하다,encounter
삼다,make
약,approximately
기간,term
담배,tobacco
일으키다,Raise
일단,first
할아버지,grandfather
조직,Organization
태어나다,bear
공장,factory
벌써,already
즐기다,enjoy
지,Ji
환자,patient
변하다,change
사고,accident
그래도,still
아무리,no matter how
맞추다,set
쌀,rice
일반,Normal
재미있다,It is interesting
가르치다,teach
대화,conversation
막다,block
올해,this year
형,brother
달리,Unlike
버리다,throw away
붙이다,attach
인물,Character
늘,always
모두,all
전국,Nationwide
마치다,finish
전,Jeon
다만,but
도움,help
가정,home
걸다,bet
빠지다,fall
멀다,far
버스,Bus
오늘날,Today
잠시,for a bit
농업,Agriculture
대다,put
식,ceremony
의견,opinion
무대,stage
사진,picture
주장,opinion
표현하다,Express
인하다,Make
이상하다,weird
제일,most
붙다,pass
아마,maybe
얘기하다,talk
잇다,connect
조금,little
경기,game
목적,purpose
태도,attitude
남성,male
주위,around
대책,Measures
그만,stop
발생하다,to occur
다리,Leg
아무,nothing
어쩌다,What
재료,ingredient
각각,each
결코,never
옮기다,move
항상,always
해,Sun
잃다,lose
자유,freedom
